TAPA,Vc Bird Intl Airport Antigua,17.117,-61.783,Culebra,PR,00775,245.26390468
TKPN,Charlestown/Newcast,17.2,-62.583,Culebra,PR,00775,194.107957962
TRPM,Blackburne/Plymouth,16.75,-62.167,Culebra,PR,00775,232.445486374
PAAK,Atka Airport,52.217,-174.2,Atka,AK,99547,0.746048135623
PAAP,Port Alexander,56.26,-134.66,Point Baker,AK,99927,40.7284965046
PAAQ,Palmer,61.61,-149.09,Butte,AK,99645,1.80188894185
PABA,Barter Island,70.14,-143.59,Kaktovik,AK,99747,0.924544126141
PABE,Bethel,60.78,-161.8,Atmautluak,AK,99559,2.8549763484
PABI,Delta Junction/Allan AAF,63.97,-145.7,Dot,AK,99737,7.2289662015
PABL,Buckland Airport,65.99,-161.12,Buckland,AK,99727,0.752704594803
PABN,Nabesna / Devil Mountain,62.41,-143.0,Slana,AK,99586,50.7148906492
PABR,Barrow/Wiley Post,71.29,-156.77,Barrow,AK,99723,0.80711576906
PABT,Bettles Airport,66.92,-151.52,Bettles,AK,99726,0.442781284837
PABV,Birchwood,61.42,-149.52,Chugiak,AK,99567,3.12293962664
PACD,Cold Bay Airport,55.21,-162.72,Nelson,AK,99571,8.00581295748
PACV,Cordova/Merle K,60.5,-145.5,Chenega,AK,99574,3.75489769467
PACZ,Cape Romanzoff Airways Facilities Sector,61.783,-166.033,Scammon,AK,99662,16.1136258463
PADE,Deering Airport,66.08,-162.75,Deering,AK,99736,0.938311233832
PADK,Adak Is. NAF,51.89,-176.65,Adak,AK,99546,0.915729665562
PADL,Dillingham Municipal,59.05,-158.52,Koliganek,AK,99576,2.99096737737
PADQ,Kodiak,57.76,-152.5,Akhiok,AK,99615,1.01514215577
PADT,Slana Airport,62.71,-143.99,Slana,AK,99586,16.1369735888
PADU,Unalaska,53.89,-166.53,Dutch,AK,99692,0.869033133632
PAEC,Chulitna,62.89,-149.84,Trapper,AK,99683,36.8657840605
PAED,Anchorage / Elmendorf Air Force Base,61.25,-149.8,Elmendorf,AK,99506,1.96079485903
PAEG,Eagle Airport,64.78,-141.15,Eagle,AK,99738,1.26012191703
PAEH,Cape Newenham Airways Facilities Sector,58.66,-162.07,Platinum,AK,99651,25.6386774487
PAEI,Fairbanks / Eielson Air Force Base,64.65,-147.067,Eielson,AK,99702,1.57454284576
PAEL,Elfin Cove Seaplane,58.21,-136.35,Elfin Cove,AK,99825,10.0943820178
PAEM,Emmonak,62.77,-164.5,Emmonak,AK,99581,6.95561693898
PAEN,Kenai Municipal Airport,60.58,-151.25,Kenai,AK,99611,0.766265755783
PAER,Merrill Pass West,61.25,-153.817,,AK,996XX,25.0456259195
PAFA,Fairbanks International Airport,64.82,-147.87,Fairbanks,AK,99709,2.41674207446
PAFB,Wainwright U. S. Army Airfield,64.833,-147.617,Fort,AK,99703,0.49041075044
PAFE,Kake Airport,56.97,-133.95,Kake,AK,99830,0.751079257867
PAFK,Farewell Lake Seaplane Base,62.54,-153.62,Nikolai,AK,99691,40.5646460362
PAFM,Ambler,67.1,-157.85,Ambler,AK,99786,1.1761512493
PAGA,Galena A.,64.74,-156.94,Galena,AK,99741,1.34120982679
PAGB,Galbraith Lake,68.49,-149.49,Anaktuvuk,AK,99721,61.8202389872
PAGK,Gulkana Airport,62.15,-145.45,Glennallen,AK,99588,4.84156660139
PAGL,Golovin Airport,64.54,-163.04,White Mountain,AK,99784,15.544374039
PAGM,Gambell Airport,63.77,-171.74,Gambell,AK,99742,1.26656889154
PAGS,Gustavus,58.42,-135.73,Gustavus,AK,99826,0.971374436938
PAGY,Skagway,59.48,-135.32,Skagway,AK,99840,1.0500527736
PAHN,Haines Airport,59.25,-135.52,Haines,AK,99827,3.82408540732
PAHO,Homer,59.64,-151.5,Port,AK,99603,2.47654137378
PAHP,Hooper Bay Automatic Weather Observing / Reporting,61.54,-166.16,Hooper,AK,99604,2.23496889393
PAHS,Huslia,65.7,-156.39,Huslia,AK,99746,0.152106839593
PAHV,Healy River Airport,63.89,-149.02,Healy,AK,99743,8.71633150998
PAHY,Hydaburg Seaplane Base,55.21,-132.84,Hydaburg,AK,99922,0.57539112126
PAHZ,Hayes River,61.99,-152.09,Skwentna,AK,99667,19.6899737463
PAII,Egegik Automatic Weather Observing / Reporting Sys,58.42,-157.37,Egegik,AK,99579,14.0042940327
PAIL,Iliamna / Iliamna Airport,59.76,-154.92,Kokhanok,AK,99606,3.82363664517
PAIM,Indian Mountain Airways Facilities Sector,66.0,-153.7,Hughes,AK,99745,15.9337006047
PAIN,McKinley National Park Airport,63.73,-148.92,Denali National,AK,99755,5.6631574622
PAJC,Chignik Airport,56.31,-158.37,Chignik,AK,99564,1.54672317942
PAJN,Juneau International Airport,58.38,-134.58,Juneau,AK,99801,1.89045716
PAJV,Sutton,61.72,-148.89,Sutton,AK,99674,6.69651705055
PAKK,Koyuk Airport,64.93,-165.15,Golovin,AK,99762,27.4820940894
PAKN,King Salmon Airport,58.68,-156.65,Igiugig,AK,99613,0.625946486124
PAKP,Anaktuvuk Pass,68.13,-151.73,Anaktuvuk,AK,99721,1.25910378365
PAKT,Ketchikan International Airport,55.35,-131.7,Ketchikan,AK,99901,1.59150336722
PAKU,Kuparuk Airport,70.317,-149.583,Nuiqsut,AK,99789,34.4222870275
PAKV,Kaltag Airport,64.33,-158.75,Kaltag,AK,99748,0.643253757592
PAKW,Klawock Airport,55.59,-133.09,Klawock,AK,99925,2.49508705023
PALH,Lake Hood Seaplane,61.19,-149.97,Anchorage,AK,99517,1.19196398334
PALJ,Port Alsworth,60.21,-154.31,Port,AK,99653,11.2916838546
PALK,Snowshoe Lake,62.03,-146.68,Glennallen,AK,99588,35.9462533085
PALR,Chandalar Lake,67.5,-148.49,Venetie,AK,99781,64.6850287859
PALU,Cape Lisburne Airways Fac Sec,68.89,-166.14,Point Hope,AK,99766,40.6609524019
PALV,Big River Lake,60.82,-152.31,,AK,996XX,38.6951609133
PAMC,McGrath Airport,62.95,-155.61,Mcgrath,AK,99627,1.17505416843
PAMD,"Middleton Island, Ak",59.44,-146.33,Chenega,AK,99574,78.3416429205
PAMH,Minchumina,63.91,-152.16,Lake Minchumina,AK,99757,4.45714676405
PAML,Manley Hot Springs,65.0,-150.65,Manley Hot Sprin,AK,99756,4.53171741461
PAMM,Metlakatla Seaplane Base,55.08,-131.35,Metlakatla,AK,99926,9.16611367183
PAMR,Merrill Field,61.214,-149.846,Anchorage,AK,99501,1.09116678891
PAMX,McCarthy,61.44,-142.94,Chitina,AK,99566,40.4371881313
PAMY,Mekoryuk,60.37,-166.27,Mekoryuk,AK,99630,0.676134889223
PANC,Anchorage International Airport,61.17,-150.0,Anchorage,AK,99502,1.76270299564
PANI,Aniak,61.58,-159.53,Chuathbaluk,AK,99557,21.3617894019
PANN,Nenana Municipal Airport,64.5473,-149.074,Nenana,AK,99760,0.942311860766
PANT,Annette Island,55.04,-131.57,Metlakatla,AK,99926,5.79662840534
PANV,Annik Airport,62.65,-160.18,Anvik,AK,99558,1.58647466455
PAOH,Hoonah Seaplane,58.12,-135.45,Hoonah,AK,99829,0.984560721449
PAOM,Nome Airport,64.5,-165.44,Golovin,AK,99762,10.0990518135
PAOR,Northway Airport,62.97,-141.94,Northway,AK,99764,3.57724034024
PAOT,"Kotzebue, Wien Memorial Airport",66.87,-162.64,Kotzebue,AK,99752,2.39158515485
PAPB,St. George Airport,56.35,-169.4,Saint,AK,99591,18.676101962
PAPG,Petersburg,56.82,-132.97,Petersburg,AK,99833,2.47663058422
